Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
0.375,0.0938,0.0,0.1266,0.23399999999999999,0.08521000000000001,0.9926,0.003,28.99936056
0.475,0.1188,0.0,0.18109999999999998,0.08900000000000001,0.08521000000000001,0.7815,0.003,37.79707432
0.469,0.1172,0.0,0.1378,0.322,0.08521000000000001,0.8405,0.003,40.1964508
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.003,33.398217439999996
0.3886,0.09709999999999999,0.0,0.1579,0.121,0.08521000000000001,0.9257000000000001,0.003,28.096147
0.5313,0.0,0.0,0.1418,0.282,0.08521000000000001,0.8937,0.003,41.2996124
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.003,33.398217439999996
0.31880000000000003,0.2125,0.0,0.15569999999999998,0.14300000000000002,0.08521000000000001,0.8804,0.003,25.2003478
0.4018,0.0947,0.0,0.1474,0.114,0.09468,0.8521,0.003,41.09966436
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.003,35.3011712
0.3237,0.2828,0.0,0.18380000000000002,0.10300000000000001,0.09427,0.6598999999999999,0.003,28.296095039999997
0.3795,0.1512,0.0,0.1539,0.159,0.11342999999999999,0.605,0.003,28.599464479999998
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.003,35.3011712
0.2863,0.2009,0.0,0.1447,0.11199999999999999,0.10046000000000001,0.8037000000000001,0.003,24.40055564
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.003,35.3011712
0.439,0.177,0.0,0.186,0.111,0.08849,0.7079,0.003,39.300132
0.38989999999999997,0.189,0.0,0.1459,0.22,0.09447,0.7557999999999999,0.003,40.59634688
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.003,35.3011712
0.3379,0.189,0.0,0.1749,0.095,0.09447,0.7557999999999999,0.003,24.0971862
0.374,0.18919999999999998,0.0,0.1701,0.10099999999999999,0.09261,0.7567,0.007,46.20178676
0.3133,0.2622,0.0,0.1755,0.086,0.10469,0.6117999999999999,0.007,42.79577532
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.007,49.20100736
0.425,0.10629999999999999,0.0,0.1514,0.18600000000000003,0.0936,0.8037000000000001,0.007,46.80163088
0.375,0.0938,0.0,0.1266,0.23399999999999999,0.08521000000000001,0.9926,0.007,45.69846928
0.475,0.1188,0.0,0.18109999999999998,0.08900000000000001,0.08521000000000001,0.7815,0.007,55.59934464
0.469,0.1172,0.0,0.1378,0.322,0.08521000000000001,0.8405,0.007,54.896079119999996
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.007,49.20100736
0.3886,0.09709999999999999,0.0,0.1579,0.121,0.08521000000000001,0.9257000000000001,0.007,34.90127512
0.5313,0.0,0.0,0.1418,0.282,0.08521000000000001,0.8937,0.007,46.89815752
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.007,49.20100736
0.31880000000000003,0.2125,0.0,0.15569999999999998,0.14300000000000002,0.08521000000000001,0.8804,0.007,33.398217439999996
0.4018,0.0947,0.0,0.1474,0.114,0.09468,0.8521,0.007,54.09628696
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.007,55.89581932
0.3237,0.2828,0.0,0.18380000000000002,0.10300000000000001,0.09427,0.6598999999999999,0.007,49.80085148
0.3795,0.1512,0.0,0.1539,0.159,0.11342999999999999,0.605,0.007,47.09810556
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.007,55.89581932
0.2863,0.2009,0.0,0.1447,0.11199999999999999,0.10046000000000001,0.8037000000000001,0.007,37.997022359999995
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.007,55.89581932
0.439,0.177,0.0,0.186,0.111,0.08849,0.7079,0.007,56.095767359999996
0.38989999999999997,0.189,0.0,0.1459,0.22,0.09447,0.7557999999999999,0.007,59.09498796
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.007,22.89749796
0.3379,0.189,0.0,0.1749,0.095,0.09447,0.7557999999999999,0.007,35.101223159999996
0.374,0.18919999999999998,0.0,0.1701,0.10099999999999999,0.09261,0.7567,0.028,61.09446836
0.3133,0.2622,0.0,0.1755,0.086,0.10469,0.6117999999999999,0.028,59.79825348
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.028,60.2946762
0.425,0.10629999999999999,0.0,0.1514,0.18600000000000003,0.0936,0.8037000000000001,0.028,61.797733879999996
0.375,0.0938,0.0,0.1266,0.23399999999999999,0.08521000000000001,0.9926,0.028,56.69561148
0.475,0.1188,0.0,0.18109999999999998,0.08900000000000001,0.08521000000000001,0.7815,0.028,68.29949256
0.469,0.1172,0.0,0.1378,0.322,0.08521000000000001,0.8405,0.028,66.89985628
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.028,60.2946762
0.3886,0.09709999999999999,0.0,0.1579,0.121,0.08521000000000001,0.9257000000000001,0.028,50.69717028
0.5313,0.0,0.0,0.1418,0.282,0.08521000000000001,0.8937,0.028,56.3991368
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.028,60.2946762
0.31880000000000003,0.2125,0.0,0.15569999999999998,0.14300000000000002,0.08521000000000001,0.8804,0.028,55.495923239999996
0.4018,0.0947,0.0,0.1474,0.114,0.09468,0.8521,0.028,68.4994406
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.028,71.29871315999999
0.3237,0.2828,0.0,0.18380000000000002,0.10300000000000001,0.09427,0.6598999999999999,0.028,74.69782984
0.3795,0.1512,0.0,0.1539,0.159,0.11342999999999999,0.605,0.028,52.20022796
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.028,71.29871315999999
0.2863,0.2009,0.0,0.1447,0.11199999999999999,0.10046000000000001,0.8037000000000001,0.028,67.69964844
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.028,71.29871315999999
0.439,0.177,0.0,0.186,0.111,0.08849,0.7079,0.028,65.99664272
0.38989999999999997,0.189,0.0,0.1459,0.22,0.09447,0.7557999999999999,0.028,74.4978818
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.028,71.29871315999999
0.3379,0.189,0.0,0.1749,0.095,0.09447,0.7557999999999999,0.028,49.89737812
0.374,0.18919999999999998,0.0,0.1701,0.10099999999999999,0.09261,0.7567,0.056,63.3973182
0.3133,0.2622,0.0,0.1755,0.086,0.10469,0.6117999999999999,0.056,64.90037588
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.056,64.30053176
0.425,0.10629999999999999,0.0,0.1514,0.18600000000000003,0.0936,0.8037000000000001,0.056,64.90037588
0.375,0.0938,0.0,0.1266,0.23399999999999999,0.08521000000000001,0.9926,0.056,60.19814956
0.475,0.1188,0.0,0.18109999999999998,0.08900000000000001,0.08521000000000001,0.7815,0.056,72.29845336
0.469,0.1172,0.0,0.1378,0.322,0.08521000000000001,0.8405,0.056,69.29923276
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.056,64.30053176
0.3886,0.09709999999999999,0.0,0.1579,0.121,0.08521000000000001,0.9257000000000001,0.056,55.19944856
0.5313,0.0,0.0,0.1418,0.282,0.08521000000000001,0.8937,0.056,58.798513279999995
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.056,64.30053176
0.31880000000000003,0.2125,0.0,0.15569999999999998,0.14300000000000002,0.08521000000000001,0.8804,0.056,66.10006412
0.4018,0.0947,0.0,0.1474,0.114,0.09468,0.8521,0.056,73.69808963999999
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.056,77.29715436
0.3237,0.2828,0.0,0.18380000000000002,0.10300000000000001,0.09427,0.6598999999999999,0.056,80.19984832
0.3795,0.1512,0.0,0.1539,0.159,0.11342999999999999,0.605,0.056,54.896079119999996
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.056,77.29715436
0.2863,0.2009,0.0,0.1447,0.11199999999999999,0.10046000000000001,0.8037000000000001,0.056,72.99482412
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.056,77.29715436
0.439,0.177,0.0,0.186,0.111,0.08849,0.7079,0.056,71.69860924
0.38989999999999997,0.189,0.0,0.1459,0.22,0.09447,0.7557999999999999,0.056,79.40005615999999
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.056,77.29715436
0.3379,0.189,0.0,0.1749,0.095,0.09447,0.7557999999999999,0.056,59.89478012
0.374,0.18919999999999998,0.0,0.1701,0.10099999999999999,0.09261,0.7567,0.091,64.90037588
0.3133,0.2622,0.0,0.1755,0.086,0.10469,0.6117999999999999,0.091,66.59648684
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.091,65.19685056
0.425,0.10629999999999999,0.0,0.1514,0.18600000000000003,0.0936,0.8037000000000001,0.091,66.69990824
0.375,0.0938,0.0,0.1266,0.23399999999999999,0.08521000000000001,0.9926,0.091,62.5009994
0.475,0.1188,0.0,0.18109999999999998,0.08900000000000001,0.08521000000000001,0.7815,0.091,74.19451236
0.469,0.1172,0.0,0.1378,0.322,0.08521000000000001,0.8405,0.091,70.69886903999999
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.091,65.19685056
0.3886,0.09709999999999999,0.0,0.1579,0.121,0.08521000000000001,0.9257000000000001,0.091,57.59882504
0.5313,0.0,0.0,0.1418,0.282,0.08521000000000001,0.8937,0.091,59.19840936
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.091,65.19685056
0.31880000000000003,0.2125,0.0,0.15569999999999998,0.14300000000000002,0.08521000000000001,0.8804,0.091,68.09954452
0.4018,0.0947,0.0,0.1474,0.114,0.09468,0.8521,0.091,75.49762199999999
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.091,79.29663476
0.3795,0.1512,0.0,0.1539,0.159,0.11342999999999999,0.605,0.091,56.49566344
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.091,79.29663476
0.2863,0.2009,0.0,0.1447,0.11199999999999999,0.10046000000000001,0.8037000000000001,0.091,76.80073164
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.091,79.29663476
0.439,0.177,0.0,0.186,0.111,0.08849,0.7079,0.091,73.29819356
0.38989999999999997,0.189,0.0,0.1459,0.22,0.09447,0.7557999999999999,0.091,82.5992248
0.36260000000000003,0.189,0.0,0.16490000000000002,0.11599999999999999,0.09447,0.7557999999999999,0.091,79.29663476
0.3379,0.189,0.0,0.1749,0.095,0.09447,0.7557999999999999,0.091,67.79617508
0.22236,0.0,0.09667,0.18928999999999999,0.0446,0.096708,0.8703200000000001,0.003,11.57630204
0.22236,0.0,0.09667,0.18928999999999999,0.0446,0.096708,0.8703200000000001,0.014,24.44881896
0.22236,0.0,0.09667,0.18928999999999999,0.0446,0.096708,0.8703200000000001,0.028,24.8900836
0.22236,0.0,0.09667,0.18928999999999999,0.0446,0.096708,0.8703200000000001,0.056,29.447519959999997
0.22236,0.0,0.09667,0.18928999999999999,0.0446,0.096708,0.8703200000000001,0.1,40.7135578
0.23381,0.0,0.09458,0.19788999999999998,0.04567,0.094704,0.8521599999999999,0.003,10.38350856
0.23381,0.0,0.09458,0.19788999999999998,0.04567,0.094704,0.8521599999999999,0.014,22.13907436
0.23381,0.0,0.09458,0.19788999999999998,0.04567,0.094704,0.8521599999999999,0.028,22.83544512
0.23381,0.0,0.09458,0.19788999999999998,0.04567,0.094704,0.8521599999999999,0.056,27.66177712
0.23381,0.0,0.09458,0.19788999999999998,0.04567,0.094704,0.8521599999999999,0.1,34.55653712
0.19468000000000002,0.0,0.10052,0.16562000000000002,0.0748,0.10064,0.9058999999999999,0.003,12.45193656
0.19468000000000002,0.0,0.10052,0.16562000000000002,0.0748,0.10064,0.9058999999999999,0.014,24.986610239999997
0.19468000000000002,0.0,0.10052,0.16562000000000002,0.0748,0.10064,0.9058999999999999,0.028,25.72434956
0.19468000000000002,0.0,0.10052,0.16562000000000002,0.0748,0.10064,0.9058999999999999,0.056,33.963587759999996
0.19468000000000002,0.0,0.10052,0.16562000000000002,0.0748,0.10064,0.9058999999999999,0.1,37.34202016
0.19068000000000002,0.0,0.1254,0.16213999999999998,0.07769999999999999,0.109,0.80401,0.003,15.04436632
0.19068000000000002,0.0,0.1254,0.16213999999999998,0.07769999999999999,0.109,0.80401,0.014,21.063491799999998
0.19068000000000002,0.0,0.1254,0.16213999999999998,0.07769999999999999,0.109,0.80401,0.028,26.40003604
0.19068000000000002,0.0,0.1254,0.16213999999999998,0.07769999999999999,0.109,0.80401,0.056,35.34253976
0.19068000000000002,0.0,0.1254,0.16213999999999998,0.07769999999999999,0.109,0.80401,0.1,40.56876784
0.21206999999999998,0.0,0.12162,0.18031,0.056900000000000006,0.10575999999999999,0.77932,0.003,12.47262084
0.21206999999999998,0.0,0.12162,0.18031,0.056900000000000006,0.10575999999999999,0.77932,0.014,20.91870184
0.21206999999999998,0.0,0.12162,0.18031,0.056900000000000006,0.10575999999999999,0.77932,0.028,24.90387312
0.21206999999999998,0.0,0.12162,0.18031,0.056900000000000006,0.10575999999999999,0.77932,0.056,34.20490436
0.21206999999999998,0.0,0.12162,0.18031,0.056900000000000006,0.10575999999999999,0.77932,0.1,39.6103962
0.22997,0.0,0.11831,0.19547,0.0463,0.10294,0.75859,0.003,10.0318758
0.22997,0.0,0.11831,0.19547,0.0463,0.10294,0.75859,0.014,20.08443588
0.22997,0.0,0.11831,0.19547,0.0463,0.10294,0.75859,0.028,24.483292759999998
0.22997,0.0,0.11831,0.19547,0.0463,0.10294,0.75859,0.056,31.53663224
0.22997,0.0,0.11831,0.19547,0.0463,0.10294,0.75859,0.1,35.34253976
0.19034,0.0,0.12518,0.16185,0.09880000000000001,0.10880999999999999,0.80259,0.003,9.4458212
0.19034,0.0,0.12518,0.16185,0.09880000000000001,0.10880999999999999,0.80259,0.014,22.718234199999998
0.19034,0.0,0.12518,0.16185,0.09880000000000001,0.10880999999999999,0.80259,0.028,28.46846404
0.19034,0.0,0.12518,0.16185,0.09880000000000001,0.10880999999999999,0.80259,0.056,38.56239268
0.19034,0.0,0.12518,0.16185,0.09880000000000001,0.10880999999999999,0.80259,0.1,40.38950408
0.16609000000000002,0.0,0.16327,0.17646,0.0449,0.10586,0.7800900000000001,0.003,10.76272036
0.16609000000000002,0.0,0.16327,0.17646,0.0449,0.10586,0.7800900000000001,0.014,25.48303296
0.16609000000000002,0.0,0.16327,0.17646,0.0449,0.10586,0.7800900000000001,0.028,21.53923024
0.16609000000000002,0.0,0.16327,0.17646,0.0449,0.10586,0.7800900000000001,0.056,28.62704352
0.16609000000000002,0.0,0.16327,0.17646,0.0449,0.10586,0.7800900000000001,0.1,33.5430074
0.16795,0.04208,0.16383,0.12175,0.0572,0.10587,0.78011,0.003,7.74971024
0.16795,0.04208,0.16383,0.12175,0.0572,0.10587,0.78011,0.014,17.8229546
0.16795,0.04208,0.16383,0.12175,0.0572,0.10587,0.78011,0.028,24.24197616
0.16795,0.04208,0.16383,0.12175,0.0572,0.10587,0.78011,0.056,32.8535314
0.16795,0.04208,0.16383,0.12175,0.0572,0.10587,0.78011,0.1,39.2311844
0.21372,0.09805,0.02451,0.18171,0.06860000000000001,0.10658,0.78538,0.003,17.9953236
0.21372,0.09805,0.02451,0.18171,0.06860000000000001,0.10658,0.78538,0.014,30.38520732
0.21372,0.09805,0.02451,0.18171,0.06860000000000001,0.10658,0.78538,0.028,45.70536404
0.21372,0.09805,0.02451,0.18171,0.06860000000000001,0.10658,0.78538,0.056,50.77301264
0.21372,0.09805,0.02451,0.18171,0.06860000000000001,0.10658,0.78538,0.1,53.90323368
0.21375999999999998,0.09806000000000001,0.02452,0.18174,0.0665,0.1066,0.78552,0.003,13.18278112
0.21375999999999998,0.09806000000000001,0.02452,0.18174,0.0665,0.1066,0.78552,0.014,17.83674412
0.21375999999999998,0.09806000000000001,0.02452,0.18174,0.0665,0.1066,0.78552,0.028,40.2309246
0.21375999999999998,0.09806000000000001,0.02452,0.18174,0.0665,0.1066,0.78552,0.056,47.13257936
0.21375999999999998,0.09806000000000001,0.02452,0.18174,0.0665,0.1066,0.78552,0.1,49.973220479999995
0.22968,0.0,0.11816,0.19523,0.0613,0.10280999999999998,0.75763,0.003,13.35515012
0.22968,0.0,0.11816,0.19523,0.0613,0.10280999999999998,0.75763,0.014,22.31833812
0.22968,0.0,0.11816,0.19523,0.0613,0.10280999999999998,0.75763,0.028,24.53845084
0.22968,0.0,0.11816,0.19523,0.0613,0.10280999999999998,0.75763,0.056,31.35047372
0.22968,0.0,0.11816,0.19523,0.0613,0.10280999999999998,0.75763,0.1,40.85834776
0.23805,0.0,0.09411,0.18666,0.07,0.09499099999999999,0.84701,0.003,19.93275116
0.23805,0.0,0.09411,0.18666,0.07,0.09499099999999999,0.84701,0.014,25.68987576
0.23805,0.0,0.09411,0.18666,0.07,0.09499099999999999,0.84701,0.028,30.2335226
0.23805,0.0,0.09411,0.18666,0.07,0.09499099999999999,0.84701,0.056,39.58971192
0.23805,0.0,0.09411,0.18666,0.07,0.09499099999999999,0.84701,0.1,44.298833
0.25,0.0,0.09569,0.18741999999999998,0.0553,0.09568600000000001,0.86117,0.003,13.817099039999999
0.25,0.0,0.09569,0.18741999999999998,0.0553,0.09568600000000001,0.86117,0.014,24.91766264
0.25,0.0,0.09569,0.18741999999999998,0.0553,0.09568600000000001,0.86117,0.028,29.21999288
0.25,0.0,0.09569,0.18741999999999998,0.0553,0.09568600000000001,0.86117,0.056,38.32797084
0.25,0.0,0.09569,0.18741999999999998,0.0553,0.09568600000000001,0.86117,0.1,42.347615919999996
0.21252000000000001,0.0,0.10037,0.15932,0.08710000000000001,0.10078,0.90359,0.003,13.54130864
0.21252000000000001,0.0,0.10037,0.15932,0.08710000000000001,0.10078,0.90359,0.014,26.310404159999997
0.21252000000000001,0.0,0.10037,0.15932,0.08710000000000001,0.10078,0.90359,0.028,31.640053639999998
0.21252000000000001,0.0,0.10037,0.15932,0.08710000000000001,0.10078,0.90359,0.056,42.54756396
0.21252000000000001,0.0,0.10037,0.15932,0.08710000000000001,0.10078,0.90359,0.1,42.919881
0.21256999999999998,0.0,0.10039000000000001,0.15935,0.10369999999999999,0.10038,0.90379,0.003,13.33446584
0.21256999999999998,0.0,0.10039000000000001,0.15935,0.10369999999999999,0.10038,0.90379,0.014,25.3727168
0.21256999999999998,0.0,0.10039000000000001,0.15935,0.10369999999999999,0.10038,0.90379,0.028,37.404073
0.21256999999999998,0.0,0.10039000000000001,0.15935,0.10369999999999999,0.10038,0.90379,0.056,44.395359639999995
0.21256999999999998,0.0,0.10039000000000001,0.15935,0.10369999999999999,0.10038,0.90379,0.1,47.739318239999996
0.212,0.0,0.12478,0.159,0.0784,0.10854000000000001,0.7995399999999999,0.003,19.519065559999998
0.212,0.0,0.12478,0.159,0.0784,0.10854000000000001,0.7995399999999999,0.014,31.35047372
0.212,0.0,0.12478,0.159,0.0784,0.10854000000000001,0.7995399999999999,0.028,38.500339839999995
0.212,0.0,0.12478,0.159,0.0784,0.10854000000000001,0.7995399999999999,0.056,45.08483564
0.212,0.0,0.12478,0.159,0.0784,0.10854000000000001,0.7995399999999999,0.1,47.8151606
0.23175,0.0,0.12162,0.17396,0.0672,0.10564000000000001,0.7784500000000001,0.003,15.43736764
0.23175,0.0,0.12162,0.17396,0.0672,0.10564000000000001,0.7784500000000001,0.014,26.77235308
0.23175,0.0,0.12162,0.17396,0.0672,0.10564000000000001,0.7784500000000001,0.028,33.72916592
0.23175,0.0,0.12162,0.17396,0.0672,0.10564000000000001,0.7784500000000001,0.056,42.69924868
0.23175,0.0,0.12162,0.17396,0.0672,0.10564000000000001,0.7784500000000001,0.1,45.83636448
0.25137,0.0,0.11827,0.18844999999999998,0.0575,0.10284000000000001,0.75773,0.003,17.22311048
0.25137,0.0,0.11827,0.18844999999999998,0.0575,0.10284000000000001,0.75773,0.014,29.93015316
